Songid,Genre,Song,Artist,SPB,SPN,SPH,SPA,DPN,DPH,DPA,Style,In26
24,AMBIENT,Tangerine Stream,dj TAKA,-,1,2,-,1,2,-,3,1
25,WORLD HOUSE,THE SAFARI,LION MUSASHI,-,7,10,-,8,10,-,3,1
26,EPIC TRANCE,ABSOLUTE,dj TAKA,-,6,8,10,6,8,11,4,1
27,SPEED RAVE,B4U,NAOKI,-,5,9,10,6,8,-,4,1
28,HYPER EURO BEAT,Broken My Heart,NAOKI feat. PAULA TERRY,-,5,7,9,4,7,10,4,1
29,EURO GROOVE,Burnin' The Floor,NAOKI,-,3,4,7,4,4,8,4,1
30,HIP HOP,CHECKING YOU OUT,good-cool feat. JP Miles,-,7,9,11,7,11,11,4,1
31,DUTCH TRANCE,Clione,kors k,-,4,5,9,3,4,9,4,1
32,TECHNO,DXY!,TaQ,-,6,9,10,6,12,12,4,1
33,DRUM'N'BASS,empathy,TaQ,-,5,7,8,4,11,-,4,1
34,DRUM'N'BASS,era(step mix),TaQ,-,5,8,9,4,8,12,4,1
35,AMBIENT,FLOWERS for ALBION,dj TAKA,-,2,5,-,5,7,-,4,1
36,DANCE POP,HIGHER,NM feat. Sunny,-,3,4,6,4,6,7,4,1
37,WARP HOUSE,Hitch Hiker2,good-cool,-,4,6,7,5,9,-,4,1
38,WARP HOUSE,Jam & Marmalade,FinalOffset,-,6,7,8,4,6,-,4,1
39,TECHNO,KAMIKAZE,dj nagureo,-,5,6,10,5,7,10,4,1
40,TRANCE,LOVE WILL…,riewo,-,4,4,7,4,6,8,4,1
41,MINIMAL,minimalian,DETROIAN,-,3,8,9,3,9,12,4,1
42,DANCE POP,Mr.T.(take me higher),Risky Men feat. Asuka.M,-,3,4,10,4,5,10,4,1
43,HAPPY HARDCORE,starmine,Ryu☆,-,5,8,9,5,8,12,4,1
44,LOUNGE HOUSE,SWEET LAB,DJ SIMON,-,3,6,10,6,10,12,4,1
45,PARAPARA,ULTRA HIGH-HEELS,dj TAKA feat.ANGEL,-,4,5,5,4,5,-,4,1
46,BIG BEAT,Voltage(feat. Hidemaru),TaQ,-,5,7,8,5,11,-,4,1
47,GABBA,250bpm,AKIRA YAMAOKA,-,5,8,10,4,7,7,4,1
48,PROGRESSIVE,V,TAKA,2,5,10,12,6,10,11,5,1
49,INTELLIGENCE,Abyss,dj TAKA,-,5,7,8,7,8,9,5,1
50,TRANCE,in my eyes,ric,-,5,6,7,5,8,10,5,1
51,HYPER EURO BEAT,LOVE AGAIN TONIGHT～for Mellisa mix～,NAOKI feat. PAULA TERRY,-,4,5,6,4,5,-,5,1
52,TECHNO,outer wall,sampling masters MEGA,-,5,6,8,5,7,10,5,1
53,TECHNO,QQQ,TaQ,-,5,8,10,10,12,-,5,1
54,BIG BEAT,Radical Faith,TaQ,-,5,6,7,6,11,10,5,1
55,DRUM'N'BASS,Real,Aya,-,5,8,9,7,9,11,5,1
56,INSTRUMENTAL,Regulus,DJ. W,-,6,9,10,6,10,11,5,1
57,POWER FUSION,RIDE ON THE LIGHT(HI GREAT MIX),Mr. T,-,4,5,8,5,8,9,5,1
58,NEW ROMANTIC,RISLIM,ric,-,4,7,-,4,6,-,5,1
59,HOUSE,Spin the disc,good-cool,-,5,7,8,7,10,-,5,1
60,HYPER EURO BEAT,STILL IN MY HEART,NAOKI,-,5,7,8,7,10,-,5,1
61,AMBIENT,still my words,TaQ feat. Meg,-,5,7,9,4,6,11,5,1
62,TRANCE,sync,OutPhase(TaQ/dj TAKA,-,4,6,-,5,7,-,5,1
63,DRUM'N'BASS,THE CUBE,DJ SUWAMI,-,6,8,10,7,9,11,5,1
64,EPIC TRANCE,THE SHINING POLARIS,L.E.D. feat. Sana,-,5,7,8,6,8,-,5,1
65,BALLAD,BALLAD FOR YOU～想いの雨～,NM feat. Thomas Howard,-,3,5,7,5,8,-,6,1
66,HOUSE,Blueberry Stream,dj TAKA,-,5,7,8,7,9,10,6,1
67,ROCK,Buffalo,good-cool feat. Hideo Suwa,-,5,7,10,4,8,10,6,1
68,TRANCE,Colors(radio edit),dj TAKA,-,6,9,12,6,10,12,6,1
69,HYPER TRANCE EURO BEAT,DIVE～INTO YOUR HEART～,NAOKI feat. PAULA TERRY,-,5,8,10,5,8,10,6,1
70,TRANCE,fly through the night,Mr. T,-,4,7,8,4,8,10,6,1
71,DANCE POP,Free Style,Shapes,-,5,6,7,6,6,-,6,1
72,TRANCE,Frozen Ray(original mix),dj TAKA,-,6,9,9,5,9,9,6,1
73,DRUM 'N' BASS,G2,Aya,-,8,9,11,6,7,12,6,1
74,LOUNGE POP,Linus,LEGO STUDIO,-,5,9,11,5,9,11,6,1
75,TECHNO,NEMESIS,D.J. SETUP,-,5,9,11,7,10,12,6,1
76,ROTTERDAM TECHNO,rottel-da-sun,sampling masters MEGA,-,5,8,10,5,8,-,6,1
77,NOISY,route 80s,sampling masters MEGA,-,6,8,9,7,11,12,6,1
78,EPIC TRANCE,SOMETHING WONDERFUL,L.E.D.,-,6,8,10,4,8,11,6,1
79,TRIP HOP,Summer Vacation(CU mix),OutPhase,-,6,9,-,9,12,-,6,1
80,INSTRUMENTAL,Take It Easy,Aya,-,7,10,11,6,11,-,6,1
81,HOUSE,"19,November",good-cool,-,5,6,8,5,7,10,6,1
82,SOUL,こっちを向いてよ,vivi,-,5,6,7,6,9,11,6,1
83,NU-NRG,電人イェーガーのテーマ(Theme of DENJIN J),L.E.D.,-,5,7,-,8,10,-,6,1
84,RENAISSANCE,A,D.J.Amuro,-,6,10,12,8,11,12,7,1
85,ALTERNATIVE HOUSE,AVE DE RAPINA,Shawn The Horny Master,-,6,8,9,8,10,-,7,1
86,FILTER HOUSE,Bad Routine,D.J. Spugna,-,5,7,9,6,7,9,7,1
87,12 BEAT,Burning Heat!(Full Option Mix),Mr.T with Motoaki.F,-,3,5,7,4,5,9,7,1
88,BIG BEAT,Cheer Train,Fuzita Blender,-,5,6,9,4,6,12,7,1
89,HYPER EURO BEAT,D2R,NAOKI,-,5,6,8,5,6,-,7,1
90,HYPER EUROBEAT,DESTINY,NAOKI feat.Paula Terry,-,5,6,8,4,6,-,7,1
91,PROGRESSIVE JAZZ,foreplay,Osamu Kubota,-,4,8,8,5,9,11,7,1
92,HIP HOP&SOUL,Glorious Days,Noria,-,3,5,6,6,7,-,7,1
93,HOUSE,Happy Wedding,ASKA,-,6,7,8,6,8,10,7,1
94,EUROBEAT,Last Message,good-cool feat. Meg,-,5,8,9,6,10,11,7,1
95,AMBIENT POP,Let the Snow Paint Me,Sana,-,4,6,7,6,7,-,7,1
96,NEW WAVE,Love Me Do,AKIRA YAMAOKA,-,5,7,9,5,7,-,7,1
97,HARDCORE TECHNO,MAX 300,Ω,-,8,10,-,6,10,-,7,1
98,HOUSE,Spica,D.JW,-,4,9,11,3,9,12,7,1
99,TECHNO,stoic,TaQ,-,8,10,11,8,10,12,7,1
100,TRANCE,Tomorrow Perfume,dj TAKA,-,6,9,9,6,10,11,7,1
101,TRANCE,traces,TaQ,-,6,9,10,7,9,10,7,1
102,ELECTROSHOCK,ZERO-ONE,Mr.T,-,5,9,10,5,8,10,7,1
103,ORCHESTRAL,革命,dj TAKA with NAOKI,-,6,10,10,7,12,12,7,1
104,CUDDLECORE,murmur twins,yu_tokiwa.djw,3,5,9,11,5,10,12,8,1
105,BIG BEAT,abstract,TaQ,-,6,9,9,7,9,-,8,1
106,INSTRUMENTAL,airflow,Mr.T,-,3,5,7,3,6,7,8,1
107,DRUM'N'BASS,ALL RIGHT,RAM,-,4,8,9,7,8,10,8,1
108,TRANCE,Attitude,Y&Co.,-,5,8,9,5,7,9,8,1
109,テクノ歌謡,bit mania,AKIRA YAMAOKA,-,4,5,8,5,6,-,8,1
110,EUROBEAT,Blame,good-cool feat. Jeff Coote,-,6,7,11,6,7,10,8,1
111,EURO GROOVE,CELEBRATE NITE,N.M.R,-,5,6,8,5,7,8,8,1
112,EUROBEAT,Colors-Y&Co.Eurobeat Remix-,dj TAKA(remixed by 横田商会),-,5,9,10,6,10,10,8,1
113,GARAGE HOUSE,dual control,Mr.T,-,5,7,9,4,8,9,8,1
114,PSYCHEDELIC TECHNO,Giudecca,D.J.SETUP,-,4,9,11,5,10,11,8,1
115,GIRL ROCK,Halfway of promise,Yu Takami feat. Shihori Nakane,-,4,8,11,5,8,10,8,1
116,GOA TRANCE,HYPER BOUNDARY GATE,L.E.D. LIGHT,-,6,8,9,6,8,10,8,1
117,RAVE,LAB,RAM,-,5,9,10,5,10,11,8,1
118,HARD CHANSON,LOVE IS ORANGE,Orange Lounge,-,4,6,8,4,5,9,8,1
119,2 STEP,Luv 2 Feel Your Body,Shoichiro Hirata,-,4,6,9,6,9,10,8,1
120,BEATROCK,memories,TAKA,-,5,9,9,5,10,11,8,1
121,EURO BEAT,Monkey Dance,Y&Co.,-,4,7,9,5,6,9,8,1
122,TECHNO,MUSIC TO YOUR HEAD,SLAKE,-,4,7,9,8,8,9,8,1
123,DISCO,PLEASE DON'T GO,ASLETICS,-,5,7,12,4,9,10,8,1
124,TRANCE,rainbow flyer,dj TAKA,-,5,9,11,4,10,11,8,1
125,TRANCE,STAR DREAM,PINK PONG,-,5,7,9,7,8,-,8,1
126,TECHNO,symbolic,TaQ,-,6,9,10,8,10,-,8,1
127,HOUSE,thunder,LION MUSASHI,-,6,8,9,5,9,11,8,1
128,HIP HOP,WAR GAME,ASLETICS,-,4,8,10,4,7,10,8,1
129,POPS,World Wide Love,MTO,-,3,5,5,4,5,-,8,1
130,ELECTROSHOCK,xenon,Mr.T,-,5,9,11,5,8,11,8,1
131,J-TRANCE,蒼い衝動,NAOKI feat. YUKI,-,5,7,8,5,6,9,8,1
132,SPIRITUAL,桜,Reven-G,-,7,10,12,8,10,12,8,1
133,HIP HOP,SWEETEST SAVAGE,ASLETICS,-,4,7,11,6,7,11,9,1
134,TRANCECORE,Abyss-The Heavens Remix-,dj TAKA Remixed by Ryu☆,-,7,10,10,6,9,10,9,1
135,RAVE,ACT,RAM,-,6,9,9,6,9,10,9,1
136,NRG,BAD BOY BASS!!(dj Remo-con MIX),Y&Co.,-,5,7,8,4,7,-,9,1
137,SPIRITUAL,bag,Reven-G,-,5,6,10,6,9,10,9,1
138,ROCOCO TEK,BRIGHTNESS DARKNESS,SLAKE,-,3,8,9,3,8,10,9,1
139,HEALIN' HARDCORE,Cradle,positive MA feat. akino,-,5,8,10,6,10,-,9,1
140,MIXTURE,Distress,dj TAKA Remixed by TaQ,-,7,10,-,9,11,-,9,1
141,TRANCE,e-motion 2003-romantic extra-,e.o.s. Remixed by dj TAKA,-,6,8,10,8,10,-,9,1
142,TURKISH PIANO'N'BASS,Golden Horn,Osamu Kubota,-,3,8,9,3,8,11,9,1
143,EUROBEAT,HYPER EUROBEAT(2DX style),NAOKI feat.PAULA TERRY,-,5,8,10,6,8,-,9,1
144,EUROBEAT,I Was The One(80's EUROBEAT STYLE),good-cool Remixed by NAOKI,-,4,6,7,4,6,8,9,1
145,DRUM'N'BASS,Karma,TaQ,-,6,9,10,8,11,12,9,1
146,TRANCE,Let The Snow Paint Me-Y&Co. Remix-,Sana Remixed by Y&Co.,-,5,6,10,5,8,9,9,1
147,SOUL,lights,flare,-,3,6,8,7,9,10,9,1
148,J-HAPPY HARDCORE,LOVE♥SHINE,小坂りゆ,-,5,9,10,4,7,9,9,1
149,TECHNO,lower world,D.J.SETUP,-,6,9,10,7,10,12,9,1
150,GOSPEL,Make A Difference,Lala Moore with CoCoRo*Co,-,5,9,10,5,9,10,9,1
151,EUROBEAT,MARIA(I believe...),NAOKI feat.PAULA TERRY,-,4,8,9,4,8,9,9,1
152,POST ROCK,moon_child,少年ラジオ,-,5,10,12,4,11,12,9,1
153,HARDCORE RAVE,one or eight,sampling masters AYA,-,7,10,12,7,8,10,9,1
154,TRANCE,quasar,OutPhase,-,6,9,11,7,11,12,9,1
155,PSYCHEDELIC,Quickening,dj TAKA,-,5,9,10,5,7,10,9,1
156,R&B,Really Love,大部真由美,-,4,6,10,4,10,-,9,1
157,ELECTRO 2 STEP,RISLIM-Remix-,ric Remixed by Hisashi Nawata,-,4,6,11,6,9,12,9,1
158,GABBA,rottel-the-Mercury,sampling masters MEGA,-,6,9,10,6,9,11,9,1
159,HAPPY HANDBAG,Silvia Drive,dj TAKA feat.Noria,-,4,8,9,7,10,11,9,1
160,DRUM'N'BASS,SNOW,RAM,-,5,7,10,5,8,10,9,1
161,TRANCE,STAR FIELD,SADA,-,3,8,9,5,8,-,9,1
162,HAPPY HARDCORE,Sweet Sweet ♥ Magic,jun with TAHIRIH,-,5,8,10,5,9,11,9,1
163,HIP HOP,SWEETEST SAVAGE,ASLETICS,-,4,7,11,6,7,11,9,1
164,ボデー,ライオン好き,AKIRA YAMAOKA,-,3,5,7,3,6,-,9,1
165,HOUSE,真夏の花・真夏の夢,Sana,-,4,6,9,3,8,10,9,1
166,PSYCHEDELIC TRANCE,ALIEN TEMPLE,PINK PONG,-,5,7,8,5,8,10,10,1
167,DREAM TECHNO,ASTRAL VOYAGE,EeL,-,5,6,9,5,9,10,10,1
168,ITALO POP,BABY LOVE,Noria,-,6,7,10,6,7,11,10,1
169,2STEP POP TRANCE,Back Into The Light,Sota Fujimori,-,6,7,10,6,9,10,10,1
170,ROCOCO TEK,Boundary,SPARKER,-,4,9,9,5,9,9,10,1
171,EUROBEAT,CARRY ON NIGHT(English version),platoniX (EURO style),-,5,7,9,5,8,10,10,1
172,EUROBEAT,Daisuke,Y&Co.,-,6,8,10,5,8,11,10,1
173,ETHNO HARDCORE,Debtty Daddy,sampling masters AYA,-,5,9,11,5,8,11,10,1
174,PIANO BALLADE,desolation,Mr.T,-,2,4,5,3,4,-,10,1
175,HYPER J-POP FOUR,DoLL,TЁЯRA,-,5,6,7,6,7,9,10,1
176,ELECTROSHOCK,EXE,Mr.T,-,4,8,10,4,8,-,10,1
177,BREAK BEATS,Feedback,Audio Highs,-,5,8,10,5,10,10,10,1
178,DRUM'N'BASS,FEEL IT,RAM,-,5,9,10,5,9,10,10,1
179,NATURAL SOUND,Freezing atmosphere,Twin AmadeuS,-,4,6,9,4,8,10,10,1
180,GOA TRANCE,GHOST REVIVAL,L.E.D.,-,5,9,10,4,9,12,10,1
181,GAME MUSIC,GRADIUS-FULL SPEED-,Mr.T,-,4,8,10,3,7,11,10,1
182,RAVE,HIGH,RAM,-,5,9,9,6,9,10,10,1
183,TECHNO,Innocent Walls,TaQ,-,8,12,12,8,10,12,10,1
184,TRANCE,Love Is Eternity,kors k,-,6,9,11,6,10,12,10,1
185,RAVE,LOW,RAM,-,4,8,9,5,8,10,10,1
186,DANCE POP,Lucy,ELE BLOCK,-,4,9,11,4,10,-,10,1
187,ARTCORE,Narcissus At Oasis,Ryu☆,-,4,10,10,4,10,11,10,1
188,PROGRESSIVE BAROQUE,No.13,TAKA respect for J.S.B.,-,8,10,11,6,10,12,10,1
189,HAPPY,One More Lovely,Risk Junk,-,5,9,12,4,10,12,10,1
190,TRANCE,pandora,dj TAKA feat.Tomomi,-,5,8,9,7,9,11,10,1
191,HAPPY HARDCORE,rainbow rainbow,Ryu☆,-,7,10,11,7,9,11,10,1
192,TRANCE,Rise'n Beauty,Sota feat.Cyborg Akemi,-,6,9,10,6,10,11,10,1
193,J-POP,SHOOTING STAR,小坂りゆ,-,7,8,9,6,9,11,10,1
194,戦艦テクノ,SPACE FIGHT,AKIRA YAMAOKA,-,3,8,11,6,8,11,10,1
195,お江戸テクノ,1st Samurai,sampling masters MEGA,-,5,10,11,7,10,12,10,1
196,HARD HOUSE,雪月花,Ryu☆,-,6,10,12,8,10,12,10,1
197,ムートラ,システムロマンス,ヒロシ＆チー子,-,4,7,8,4,7,-,10,1
198,RENAISSANCE,AA,D.J.Amuro,-,5,10,12,5,9,12,11,1
199,HAPPY HARDCORE,AGEHA,Ryu☆,-,5,8,9,5,7,8,11,1
200,PSYCHEDELIC GOA TRANCE,ANDROMEDA,Sota Fujimori,-,5,8,11,4,9,11,11,1
201,TRANCE,awakening,AKIRA YAMAOKA,-,5,7,10,5,7,9,11,1
202,HARD DANCE,Be quiet,Ryu☆,-,5,9,11,6,8,11,11,1
203,TRANCE,BLOCKS,SPARKER,-,5,7,11,7,7,12,11,1
204,ROCOCO TEK,BREATH,SPARKER,-,6,7,10,5,8,10,11,1
205,CLICK HOUSE,Click Again,dj REMO-CON,-,5,6,11,4,6,10,11,1
206,AMERICA,Close my Eyes for Me,D-crew feat.DENNIS GUNN(DJ Yoshitaka SCRATCHING),-,5,8,9,5,8,11,11,1
207,J-POP,D.A.N.C.E.!,DJ Yoshitaka feat.星野奏子,-,3,5,10,3,5,8,11,1
208,J-POP,Don't be afraid myself,platoniX with ray.D,-,5,9,10,6,9,10,11,1
209,PIANO BALLAD,earth scape,dj TAKA,-,2,5,7,2,6,-,11,1
210,HARD ROCK,FAKE TIME,dj REMO-CON,-,5,11,12,7,12,12,11,1
211,DANCE POP,Fly Away To India,Baby Weapon feat.KAJIL,-,3,6,7,4,6,-,11,1
212,DRUM'N'BASS,GENOCIDE,dj Killer,-,6,10,11,6,12,12,11,1
213,NUSTYLE GABBA,gigadelic,teranoid feat.MC Natsack,-,9,12,12,10,12,12,11,1
214,HAPPY HARDCORE,HORIZON,LIA,-,5,7,8,5,7,9,11,1
215,BEAT ROCK,KEY,colors,-,6,8,11,5,8,11,11,1
216,PSYCHEDELIC TRANCE,NEBULA GRASPER,L.E.D.,-,6,9,10,7,9,11,11,1
217,COLORFUL HARDCORE,Raspberry♥Heart(English version),jun feat. PAULA TERRY,-,5,8,9,6,8,10,11,1
218,SPEED RAVE,RED ZONE,Tatsh&NAOKI,-,5,9,11,5,9,11,11,1
219,HARD SONATA,RESONATE 1794,KOHTA,-,5,10,11,4,11,-,11,1
220,DRUM'N'BASS,Secret of Love,D.J.SWAN,-,5,7,11,5,9,-,11,1
221,EUROBEAT,SPEEDY CAT,Y&Co.,-,5,8,9,5,9,10,11,1
222,MEDIEVAL CHOIR,Sphere,Tatsh feat. K.Nayuki,-,5,9,10,5,8,12,11,1
223,PSYCHEDELIC TECHNO,spiral galaxy,D.J.SETUP,-,5,9,11,5,9,10,11,1
224,CYBORG TRANCE,The Hope of Tomorrow,Sota Fujimori,-,5,8,10,6,9,10,11,1
225,HYPER J-POP FIVE,ULTiMΛTE,TЁЯRA,-,5,7,9,4,7,-,11,1
226,NATURAL SOUND,Wonder Bullfighter,Twin AmadeuS,-,5,7,11,5,8,10,11,1
227,JAPAN,大桟橋,ウッチーズ,-,3,6,9,3,6,-,11,1
228,DIRGE,"ピアノ協奏曲第１番""蠍火""",virkato,-,5,11,12,5,10,12,11,1
229,CYBER J-EURO,太陽～T・A・I・Y・O～,NAOKI feat.星野奏子,-,4,8,9,4,8,-,11,1
230,MEDIEVAL CHOIR,Xepher,Tatsh,3,5,10,11,5,11,12,12,1
231,SYNTHETIC PROGRESSIVE ROCK,100% minimoo-G,Sota Fujimori,-,5,9,10,4,10,-,12,1
232,GOTHIC METAL,Agnus Dei,あさき,-,5,9,10,5,8,11,12,1
233,NATURAL SOUND,alla turca con passione,Twin AmadeuS,-,5,8,10,4,8,9,12,1
234,TRANCE CORE,Aurora,Ryu☆,-,7,10,11,6,11,12,12,1
235,NOSTALISH REQUIEM,CaptivAte ～浄化～,A/I,-,5,9,11,5,9,11,12,1
236,ACID JAZZ,Catch Me,DJ Yoshitaka feat. ERi,-,5,7,9,4,8,11,12,1
237,BATTLE2005,double thrash,414,-,6,10,11,5,11,-,12,1
238,HYPER J-POP SIX,EDEN,TЁЯRA,-,6,9,10,7,8,-,12,1
239,E-ROCK,EMPTY OF THE SKY,AKIRA YAMAOKA,-,3,5,8,3,5,8,12,1
240,TECHNO RAVE,First Resolution,good-cool,-,5,7,9,5,8,11,12,1
241,SWING WALTZ,garden,青野りえ,-,4,7,10,4,7,12,12,1
242,RAVE,Get'em up to R.A.V.E,Disconation,-,5,8,10,5,8,-,12,1
243,HAPPY HARDCORE,HAPPY☆ANGEL,jun with TAHIRIH,-,5,7,10,5,7,-,12,1
244,CYBER J-ROCK,I am,有沢みはる from BeForU,-,5,8,10,5,8,-,12,1
245,CLICK HOUSE,in motion,Ryu☆,-,5,6,7,5,6,8,12,1
246,TRANCE,INAZUMA,dj TAKA,-,5,9,11,5,9,12,12,1
247,HAPPY EXTREME,LESSON 5,Risk Junk feat. Erika Mochizuki,-,5,8,10,5,7,12,12,1
248,PUNK OPERA,Little Little Princess,SHRINE 418,-,5,10,11,5,10,-,12,1
249,DRUM'N'BASS,Love Magic,D.J.SWAN,-,5,8,10,4,8,-,12,1
250,FUTURE HOUSE,MOON RACE,ELEKTEL,-,5,7,9,5,8,-,12,1
251,HEART,Pink Rose,Kiyommy+Seiya,-,3,5,6,3,5,-,12,1
252,SYNTHESIZED TECHNO,PLASMA,Sota Fujimori,-,5,8,10,5,8,-,12,1
253,HARD DANCE,Pollinosis,dj REMO-CON,-,4,6,11,4,7,9,12,1
254,EUROBEAT,POODLE,Y&Co.,-,5,8,10,5,8,-,12,1
255,DIGI-ROCK,rage against usual,dj TAKA feat.Gt.Shintaro,-,7,10,12,6,11,12,12,1
256,BREAKCORE,SCREAM SQUAD,CALF,-,7,10,11,6,8,11,12,1
257,MAKINA,SigSig,kors k,-,5,7,10,5,7,12,12,1
258,MPB,Tizona d'El Cid,TOMOSUKE,-,5,9,10,5,10,-,12,1
259,HAPPY EURO PARADISE,Twelfth Style,Tatsh&DAYBREAKERS NEXT,-,6,7,10,7,9,10,12,1
260,J-EUROTRANCE,Under the Sky,南さやか(BeForU) with platoniX,-,5,7,9,4,7,9,12,1
261,ELECTROSHOCK,vault of heaven,Mr.T,-,4,8,10,4,7,-,12,1
262,ANTHEM TRANCE,Votum stellarum,iconoclasm (dj TAKA/wac),-,4,9,10,4,10,-,12,1
263,DISCO,We are Disっ娘よっつ打ち命,DANCE☆MAN feat. Disっ娘,-,3,5,9,3,5,9,12,1
264,FUNK,オレはビートマニア!お前は何マニア?,DANCE☆MAN,-,7,8,9,5,8,9,12,1
265,J-HAPPY HARDCORE,ヒマワリ,小坂りゆ,-,3,9,10,4,8,9,12,1
266,REGGAE,ラクエン,Chonan Chiharu,-,4,5,10,4,8,-,12,1
267,HUMAN SEQUENCER,冥,Amuro vs Killer,-,5,10,12,5,11,12,12,1
268,HARD DANCE,合体せよ！ストロングイェーガー！！ (Ryu☆ remix),L.E.D. / Remixed by Ryu☆,-,5,8,11,5,9,10,12,1
269,J-EUROBEAT,月光,Tatsh feat.星野奏子,-,5,8,10,4,9,11,12,1
270,TECHNO,Scripted Connection⇒ A mix,DJ MURASAME,-,7,10,12,8,10,11,12,1
271,TECHNO,Scripted Connection⇒ H mix,DJ MURASAME,-,7,10,11,8,10,11,12,1
272,TECHNO,Scripted Connection⇒ N mix,DJ MURASAME,-,6,8,10,6,9,10,12,1
273,HYPER J-POP SEVEN,ALFARSHEAR 双神威に廻る夢,TЁЯRA,2,5,7,10,6,9,10,13,1
274,ORATORIO,Apocalypse ～dirge of swans～,Zektbach,-,5,9,10,5,9,11,13,1
275,CELTIC REEL,BALLAD THE FEATHERS,S.S.D.FANTASICA feat.Naomi Koizumi,-,4,6,8,5,7,-,13,1
276,HARD RENAISSANCE,Bloody Tears(IIDX EDITION),DJ YOSHITAKA,-,5,9,10,5,11,-,13,1
277,LATIN HORNS GROOVE,bluemoon,小野秀幸,-,4,7,10,5,10,11,13,1
278,EUROBEAT,BOOM BOOM DISCO NIGHT,Y&Co.,-,5,8,10,5,9,10,13,1
279,TRANCE,Broadbanded,SADA,-,4,8,10,4,10,11,13,1
280,PROGRESSIVE,Concertino in Blue,佐々木博史,-,5,10,11,5,11,-,13,1
281,SUBLIME TECHNO,CONTRACT,朱雀,-,7,10,11,7,10,11,13,1
282,TECHNO,D.C.fish,DJ MURASAME,-,5,9,11,5,8,11,13,1
283,J-POP,Double♡♡Loving Heart,Tatsh feat. Junko Hirata & Sayaka Minami,-,3,6,9,4,7,-,13,1
284,TECHNO,DUE TOMORROW,Mr.T,-,6,9,11,6,11,-,13,1
285,80's TECHNO,EURO-ROMANCE,K-MASERA,-,5,8,10,5,8,-,13,1
286,ESOTERIC SLOWCORE,Ganymede,玄武,-,5,10,11,7,11,12,13,1
287,PROGRESSIVE HOUSE,Harmony and Lovely,Ryu☆,-,4,8,11,5,9,11,13,1
288,TRANCE,Heavenly Sun (IIDX VERSION),AKIRA YAMAOKA,-,4,7,10,4,8,10,13,1
289,BRAZILIAN HOUSE,INFERNO,Caldeira feat.星野奏子,-,5,7,9,5,7,-,13,1
290,SYMPHONIC EURO,Leaving...,"SEIYA MURAI meets ""eimy""",-,4,8,10,4,7,-,13,1
291,NEW ACOUSTIC,Melody Life,Noria,-,4,6,9,4,6,-,13,1
292,ELECTRONICA,MINT,SLAKE,-,6,10,11,5,9,-,13,1
293,AISYU-EURO,MOON,dj TAKA feat. Erika Mochizuki,-,5,9,10,5,10,-,13,1
294,2 STEP,Power of Love,kors k feat. PSY,-,5,7,10,4,8,11,13,1
295,BUCHIAGE TRANCE,So Fabulous !!,HHH (Ryu☆ & Dai),-,5,8,10,5,9,12,13,1
296,HAPPY POP,Sun Field,mh sequence,-,3,8,11,5,9,11,13,1
297,SADISTIC HARDCORE,The Dirty of Loudness,Tatsh Assault X,-,7,11,12,7,11,12,13,1
298,CORE POP,This is Love,D-crew feat.MAKOTO,-,4,9,10,5,8,-,13,1
